provincianombre,provincia,maxabs,minabs,brecha.sc,count.sc,municipio,zona,show
Tarragona,43,61.2,34.8,26.4,11,Calafell,m43037
Alicante,3,52.8,26.5,26.3,18,Santa Pola,m3121
Madrid,28,46.7,20.5,26.2,51,Pozuelo de Alarcón,m28115
"Balears, Illes",7,59.2,33.2,26,3,"Mercadal, Es",m7037
Madrid,28,47.5,21.6,25.9,65,Alcobendas,m28006
"Balears, Illes",7,57,31.2,25.8,21,Llucmajor,m7031
Cádiz,11,62.6,36.8,25.8,68,San Fernando,m11031
Ciudad Real,13,40.3,14.6,25.7,23,Alcázar de San Juan,m13005
Alicante,3,46.2,20.5,25.7,21,Crevillent,m3059
Castellón/Castelló,12,47.7,22.1,25.6,11,Almazora/Almassora,m12009
"Coruña, A",15,51.2,25.6,25.6,22,Ribeira,m15073
Alicante,3,51.7,26.2,25.5,8,Pilar de la Horadada,m3902
Santa Cruz de Tenerife,38,40.2,14.8,25.4,9,Santa Úrsula,m38039
Palencia,34,51.9,26.5,25.4,64,Palencia,m34120
Sevilla,41,49.5,24.2,25.3,15,Mairena del Alcor,m41058
Barcelona,8,62.6,37.3,25.3,29,Esplugues de Llobregat,m8077
Madrid,28,46.5,21.6,24.9,140,Leganés,m28074
Girona,17,58.3,33.4,24.9,4,Vidreres,m17213
Jaén,23,60.9,36,24.9,39,Linares,m23055
Valencia/Valéncia,46,48.6,23.8,24.8,53,Torrent,m46244
Araba/Álava,1,51.4,26.7,24.7,187,Vitoria-Gasteiz,m1059
Jaén,23,37.2,12.6,24.6,9,Alcaudete,m23003
Almería,4,43.2,18.6,24.6,4,Pulpí,m4075
Murcia,30,56,31.6,24.4,34,Cieza,m30019
"Balears, Illes",7,61,36.7,24.3,10,Alcúdia,m7003
Madrid,28,44,19.8,24.2,120,Alcorcón,m28007
Ciudad Real,13,52.9,28.7,24.2,24,Tomelloso,m13082
Cantabria,39,51.5,27.4,24.1,21,Castro-Urdiales,m39020
Barcelona,8,61.1,37,24.1,8,Canet de Mar,m8040
Toledo,45,43.5,19.5,24,61,Toledo,m45168
Alicante,3,44.7,20.7,24,19,Aspe,m3019
Barcelona,8,54.8,30.8,24,20,Sant Vicenç dels Horts,m8263
Girona,17,66.3,42.3,24,26,Figueres,m17066
"Coruña, A",15,54.5,30.6,23.9,184,"Coruña, A",m15030
Barcelona,8,61.9,38,23.9,42,Rubí,m8184
Albacete,2,53.3,29.5,23.8,20,Hellín,m2037
"Balears, Illes",7,55.6,31.8,23.8,4,Sant Lluís,m7052
Lleida,25,56.2,32.4,23.8,2,Alcoletge,m25012
Cádiz,11,56.9,33.1,23.8,16,Barbate,m11007
Alicante,3,53,29.3,23.7,11,Jávea/Xàbia,m3082
Murcia,30,53.2,29.5,23.7,19,San Pedro del Pinatar,m30036
Alicante,3,48.8,25.2,23.6,16,Mutxamel,m3090
Córdoba,14,49.6,26,23.6,14,Baena,m14007
